rated,created_at,last_move_at,turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply,increment_base,increment_bonus,n_moves_played,first_move,last_move
0,1504210000000.0,1504210000000.0,13,2,2,1287,1500,11,1191,248,1387,5,15,2,13,11,103
1,1504130000000.0,1504130000000.0,16,3,0,16,1322,7748,1261,71,750,4,5,10,16,11,21
1,1504130000000.0,1504130000000.0,61,1,2,3823,1496,11,1500,171,650,3,5,10,61,13,54
1,1504110000000.0,1504110000000.0,61,1,2,2017,1439,134,1454,241,992,3,20,0,61,11,1207
1,1504030000000.0,1504030000000.0,95,1,2,6056,1523,134,1469,192,783,5,30,3,95,13,1568
0,1504240000000.0,1504240000000.0,5,0,1,8568,1250,3065,1002,96,1292,4,10,0,5,13,1764
1,1504230000000.0,1504230000000.0,33,3,2,1467,1520,2041,1423,239,91,10,10,0,33,11,56
0,1503680000000.0,1503680000000.0,9,3,0,2023,1413,7866,2108,71,752,5,15,30,9,13,1798
1,1503510000000.0,1503510000000.0,66,3,0,2525,1439,2041,1392,201,503,6,15,0,66,13,688
1,1503440000000.0,1503440000000.0,119,1,2,2023,1381,5690,1209,72,1141,4,10,0,119,13,995
0,1503350000000.0,1503350000000.0,39,1,2,2023,1381,517,1272,0,1433,1,20,60,39,12,1692
0,1503350000000.0,1503350000000.0,38,3,0,2023,1381,8017,1867,154,323,9,20,60,38,13,11
0,1503350000000.0,1503350000000.0,60,3,0,2023,1381,7201,1936,152,352,3,5,40,60,13,675
0,1503340000000.0,1503340000000.0,31,3,0,2023,1381,414,1607,152,311,2,8,0,31,13,79
0,1504090000000.0,1504100000000.0,31,1,2,7667,1094,8057,1141,201,297,8,15,15,31,13,995
0,1504090000000.0,1504090000000.0,43,3,0,8119,1141,7656,1094,208,518,7,15,15,43,13,935
0,1504090000000.0,1504090000000.0,52,3,0,7667,1094,8057,1141,201,297,8,15,15,52,13,1668
0,1504010000000.0,1504010000000.0,66,1,0,8119,1141,7656,1094,201,297,8,15,16,66,13,1216
0,1504010000000.0,1504010000000.0,101,3,0,7667,1094,7759,1300,192,785,5,15,15,101,13,1839
0,1503760000000.0,1503760000000.0,25,3,2,3022,1500,7656,1094,239,961,2,11,0,25,11,165
0,1502950000000.0,1502950000000.0,14,3,0,7667,1094,4952,1676,206,463,6,15,15,14,13,689
0,1502950000000.0,1502950000000.0,3,3,2,7667,1094,8282,1068,36,433,2,30,60,3,11,459
0,1502950000000.0,1502950000000.0,17,3,2,8045,1500,7656,1094,90,1208,3,15,5,17,13,277
1,1502950000000.0,1502950000000.0,36,3,2,7110,1307,7656,1106,24,257,4,10,0,36,9,673
1,1502860000000.0,1502860000000.0,13,3,0,7667,1113,3982,1423,91,1351,3,10,0,13,13,459
1,1502780000000.0,1502780000000.0,69,1,2,7667,1078,8057,1219,240,967,4,10,10,69,11,1033
1,1502780000000.0,1502780000000.0,43,3,2,3207,1825,7656,1079,196,1158,8,10,10,43,13,1659
1,1502780000000.0,1502780000000.0,54,1,0,5205,1328,7656,1038,240,967,4,10,10,54,11,1336
1,1502780000000.0,1502780000000.0,53,3,0,7667,1056,1203,1156,248,1377,4,10,10,53,11,205
1,1502780000000.0,1502780000000.0,66,1,0,7667,1077,1772,1148,245,943,4,10,10,66,11,1695
1,1502780000000.0,1502780000000.0,64,3,0,1172,1358,7656,1036,91,1351,3,10,10,64,13,647
1,1502780000000.0,1502780000000.0,64,1,0,7253,1200,7656,1002,119,1211,6,10,10,64,13,546
1,1502780000000.0,1502780000000.0,54,3,2,8861,1203,7656,1019,96,1194,3,10,10,54,13,115
0,1502720000000.0,1502720000000.0,21,3,0,7667,1019,7627,1500,258,855,6,15,3,21,11,854
0,1502430000000.0,1502430000000.0,11,3,2,5450,1422,7656,975,90,1208,3,18,0,11,13,703
1,1502430000000.0,1502430000000.0,19,3,0,7667,976,7854,1832,77,1010,4,10,0,19,11,262
1,1502430000000.0,1502430000000.0,28,3,2,7056,1569,7656,978,239,93,10,10,0,28,11,312
0,1502210000000.0,1502210000000.0,22,3,0,7667,978,4236,1500,41,443,2,15,0,22,11,2054
0,1502210000000.0,1502210000000.0,37,3,2,4128,1500,7656,978,134,1239,17,15,0,37,13,684
0,1502030000000.0,1502030000000.0,34,3,2,6869,2449,7656,978,20,258,3,30,30,34,9,1677
0,1499700000000.0,1499700000000.0,32,0,1,9058,1207,7656,978,127,1227,10,20,25,32,13,1362
0,1499700000000.0,1499700000000.0,71,3,0,5593,1241,7656,978,93,1219,3,5,5,71,13,308
0,1499620000000.0,1499620000000.0,30,3,2,8012,1500,7656,978,91,1351,3,30,0,30,13,1966
0,1499610000000.0,1499620000000.0,66,3,2,6869,2443,7656,978,133,1240,17,40,40,66,13,331
0,1499330000000.0,1499330000000.0,41,3,2,3568,1500,7656,978,91,1351,3,20,0,41,13,1388
0,1499330000000.0,1499330000000.0,49,3,2,4072,1500,7656,978,90,1208,3,15,0,49,13,464
0,1499330000000.0,1499330000000.0,3,3,0,7667,978,4187,1500,72,1125,2,15,0,3,13,1933
0,1499320000000.0,1499320000000.0,7,3,2,130,1343,7656,978,90,1208,3,10,0,7,13,548
0,1499010000000.0,1499010000000.0,35,1,2,6869,2436,7656,978,134,1239,17,40,40,35,13,683
0,1498400000000.0,1498410000000.0,41,1,2,6869,2436,7656,978,72,1141,4,40,40,41,13,648
